DATE,____-5,____-4,____-3,____-2,____-1,_____0,POSITI,____+1,____DIF
2020-03-06,-0.0093,-0.0174,0.0022,0.0083,-0.0023,0.0028,SELL,1.1447,-0.011
2020-03-05,-0.0143,-0.0093,-0.0174,0.0022,0.0083,-0.0023,BUY,1.1557,0.0028
2020-03-04,-0.0091,-0.0143,-0.0093,-0.0174,0.0022,0.0083,SELL,1.1529,-0.0023
2020-03-03,0.004,-0.0091,-0.0143,-0.0093,-0.0174,0.0022,BUY,1.1552,0.0083
2020-03-02,-0.004,0.004,-0.0091,-0.0143,-0.0093,-0.0174,BUY,1.1469,0.0022
2020-02-28,0.0008,-0.004,0.004,-0.0091,-0.0143,-0.0093,SELL,1.1447,-0.0174
2020-02-27,-0.0012,0.0008,-0.004,0.004,-0.0091,-0.0143,SELL,1.1621,-0.0093
2020-02-26,-0.0089,-0.0012,0.0008,-0.004,0.004,-0.0091,SELL,1.1714,-0.0143
2020-02-25,0.0043,-0.0089,-0.0012,0.0008,-0.004,0.004,SELL,1.1857,-0.0091
2020-02-24,-0.0044,0.0043,-0.0089,-0.0012,0.0008,-0.004,BUY,1.1948,0.004
2020-02-21,0.0017,-0.0044,0.0043,-0.0089,-0.0012,0.0008,SELL,1.1908,-0.004
2020-02-20,0.011,0.0017,-0.0044,0.0043,-0.0089,-0.0012,NOTRAD,1.1948,0.0008
2020-02-19,0.0054,0.011,0.0017,-0.0044,0.0043,-0.0089,SELL,1.1940,-0.0012
2020-02-18,0.003,0.0054,0.011,0.0017,-0.0044,0.0043,SELL,1.1952,-0.0089
2020-02-17,0.0058,0.003,0.0054,0.011,0.0017,-0.0044,BUY,1.2041,0.0043
2020-02-14,0.0002,0.0058,0.003,0.0054,0.011,0.0017,SELL,1.1998,-0.0044
2020-02-13,-0.0043,0.0002,0.0058,0.003,0.0054,0.011,BUY,1.2042,0.0017
2020-02-12,0.0019,-0.0043,0.0002,0.0058,0.003,0.0054,BUY,1.2025,0.011
2020-02-11,0.0044,0.0019,-0.0043,0.0002,0.0058,0.003,BUY,1.1915,0.0054
2020-02-10,-0.0148,0.0044,0.0019,-0.0043,0.0002,0.0058,BUY,1.1861,0.003
2020-02-07,0.0036,-0.0148,0.0044,0.0019,-0.0043,0.0002,BUY,1.1831,0.0058
